headline,url,date
Comment: no peace in Kashmir,https://www.theguardian.com/world/2000/aug/15/india.kashmir1,2000-08-15
Children first,https://www.theguardian.com/society/2000/aug/16/guardiansocietysupplement6,2000-08-16
Barred Taliban seek to send an unshaven team to Olympics,https://www.theguardian.com/world/2000/aug/17/sydney.sport,2000-08-17
Carlos Mavroleon,https://www.theguardian.com/theobserver/2000/aug/20/features.magazine47,2000-08-19
200 Muslim rebels holed up outside Uzbek capital,https://www.theguardian.com/world/2000/aug/24/islam,2000-08-24
Afghanistan crisis deepens as fighting blocks food aid,https://www.theguardian.com/world/2000/aug/28/rorymccarthy,2000-08-27
Guardian review: The Bible in History by Thomas L Thompson,https://www.theguardian.com/books/2000/sep/02/historybooks.nicholaslezard,2000-09-01
Taliban seize opposition base in Afghanistan,https://www.theguardian.com/world/2000/sep/07/islam,2000-09-07
The roots of guerrilla conflict,https://www.theguardian.com/world/2000/sep/10/russia.theobserver,2000-09-10
Pakistan's clerics balk at school reforms,https://www.theguardian.com/world/2000/sep/13/rorymccarthy,2000-09-13
Refugees forced back to face Taliban as Western aid dries up,https://www.theguardian.com/world/2000/sep/17/rorymccarthy.theobserver,2000-09-17
Crop control Afghans angered by UN ditching drug project,https://www.theguardian.com/world/2000/sep/23/unitednations,2000-09-23
Germain Greer: The spread of pornography is a poison in our culture,https://www.theguardian.com/books/2000/sep/24/society,2000-09-24
Leader: Taliban on the warpath,https://www.theguardian.com/theguardian/2000/oct/04/guardianleaders,2000-10-04
Jihad called then bombers attack,https://www.theguardian.com/world/2000/oct/14/israel1,2000-10-13
World steps between two sides intent on war,https://www.theguardian.com/world/2000/oct/14/israel,2000-10-13
Tajikistan on frontline of chaos,https://www.theguardian.com/world/2000/oct/16/internationalcrime,2000-10-16
Leader: The doctrine of containment of,https://www.theguardian.com/world/2000/oct/20/northkorea.guardianleaders,2000-10-20
Said & Done,https://www.theguardian.com/football/2000/oct/29/newsstory,2000-10-29
Taliban set to win as Afghan war nears a close,https://www.theguardian.com/world/2000/oct/30/afghanistan,2000-10-30
The last Afghan town still in the television age,https://www.theguardian.com/world/2000/nov/01/rorymccarthy,2000-11-01
Taliban braced for US missiles,https://www.theguardian.com/world/2000/nov/01/afghanistan,2000-11-01
Russia and UK in drugs talks,https://www.theguardian.com/world/2000/nov/01/richardnortontaylor,2000-11-01
Taliban asks the Queen to return Koh-i-Noor gem,https://www.theguardian.com/world/2000/nov/05/afghanistan,2000-11-05
Welcome to our beautiful country...,https://www.theguardian.com/world/2000/nov/05/afghanistan1,2000-11-05
View from elsewhere: Luke Harding in Afghanistan,https://www.theguardian.com/world/2000/nov/06/worlddispatch.comment,2000-11-06
Bin Laden quits base to dodge US reprisal,https://www.theguardian.com/world/2000/nov/07/lukeharding,2000-11-07
Afghan women reach last refuge,https://www.theguardian.com/world/2000/nov/08/rorymccarthy,2000-11-08
Bin Laden: the question facing the next US president,https://www.theguardian.com/world/2000/nov/13/worlddispatch.lukeharding,2000-11-13
Pakistan finds its salvation in defence,https://www.theguardian.com/world/2000/nov/17/worlddispatch.pakistan,2000-11-17
Why US missiles could rain on Afghanistan again,https://www.theguardian.com/society/2000/nov/23/voluntarysector.worlddispatch,2000-11-23
The best books of 2000 in brief,https://www.theguardian.com/books/2000/nov/24/bestbooksoftheyear.bestbooks7,2000-11-24
Taliban: no subversive gateaux,https://www.theguardian.com/world/2000/nov/24/filmnews.rorymccarthy,2000-11-24
G2: Profile of Ahmad Shah Masood,https://www.theguardian.com/theguardian/2000/dec/06/features11.g22,2000-12-06
"Bin Laden: aiming at the symptom, not the disease",https://www.theguardian.com/world/2000/dec/08/terrorism,2000-12-08
Relief effort battles dogma and drought,https://www.theguardian.com/society/2000/dec/11/2,2000-12-11
Deepening food crisis heightens sense of urgency,https://www.theguardian.com/society/2000/dec/11/3,2000-12-11
Relief work starts in earnest,https://www.theguardian.com/society/2000/dec/11/4,2000-12-11
The migrants bent on reaching Britain,https://www.theguardian.com/uk/2000/dec/13/immigration.immigrationandpublicservices,2000-12-13
Asylum seekers stuck in no man's land,https://www.theguardian.com/society/2000/dec/13/asylum,2000-12-13
Bush must keep an eye on Putin,https://www.theguardian.com/world/2000/dec/14/worlddispatch.simontisdall,2000-12-14
New UN sanctions threaten Afghan aid,https://www.theguardian.com/world/2000/dec/18/unitednations,2000-12-18
Drivers who kill face tougher penalties,https://www.theguardian.com/uk/2000/dec/18/michaelwhite1,2000-12-18
Britain fought to block UN sanctions against Taliban,https://www.theguardian.com/world/2000/dec/22/unitednations,2000-12-22
Palestinian grief brings Ramadan to a sad close,https://www.theguardian.com/world/2000/dec/28/israel,2000-12-28
US papers reveal rift with allies on drugs,https://www.theguardian.com/world/2001/jan/01/freedomofinformation.politics,2001-01-01
Taliban to execute Muslims who deny Islam,https://www.theguardian.com/world/2001/jan/09/afghanistan.islam,2001-01-09
Bin Laden stars at Afghan wedding of the year,https://www.theguardian.com/world/2001/jan/11/brianwhitaker,2001-01-11
Women: Julie Burchill on man-haters,https://www.theguardian.com/world/2001/jan/18/gender.uk,2001-01-18
Armed hijackers 'said they would blow up plane',https://www.theguardian.com/uk/2001/jan/19/jamiewilson,2001-01-19
UN's anti-drugs effort 'in chaos',https://www.theguardian.com/world/2001/jan/19/drugsandalcohol.unitednations,2001-01-19
Review: Tournament of Shadows by Karl Meyer and Shareen Brysac,https://www.theguardian.com/books/2001/jan/20/historybooks1,2001-01-20
Events leading up to sanctions,https://www.theguardian.com/society/2001/jan/24/2,2001-01-24
Taliban accused of killing civilians,https://www.theguardian.com/world/2001/jan/25/rorymccarthy,2001-01-25
World in brief,https://www.theguardian.com/world/2001/jan/28/theobserver,2001-01-28
Richard Williams on the rising tide of football violence,https://www.theguardian.com/football/2001/feb/02/sport.newsstory,2001-02-02
Wave on wave of Afghans flee homeland,https://www.theguardian.com/world/2001/feb/03/rorymccarthy,2001-02-03
Earthquake diplomacy brings subcontinent detente,https://www.theguardian.com/environment/2001/feb/05/worlddispatch.naturaldisasters,2001-02-05
Comment: Straw's asylum revolution,https://www.theguardian.com/uk/2001/feb/06/immigration.immigrationandpublicservices2,2001-02-06
Comment: asylum seekers put liberals in deep quandary,https://www.theguardian.com/uk/2001/feb/07/immigration.immigrationandpublicservices1,2001-02-07
Asylum seekers put liberals in deep quandary,https://www.theguardian.com/society/2001/feb/07/asylum.comment,2001-02-07
Letters: Mr Straw's flawed idea,https://www.theguardian.com/theguardian/2001/feb/08/guardianletters1,2001-02-08
French court links armed robbers to terrorist network,https://www.theguardian.com/world/2001/feb/09/stuartjeffries,2001-02-09
Nick Cohen: the big lie about 'genuine refugees',https://www.theguardian.com/uk/2001/feb/11/immigration.immigrationandpublicservices,2001-02-11
'Asylum debate is a shameful example of political and journalistic lying',https://www.theguardian.com/society/2001/feb/11/asylum,2001-02-11
Afghanistan's cruel winter,https://www.theguardian.com/world/2001/feb/12/worlddispatch.lukeharding,2001-02-12
Asylum policy could hit the sheltering scholars,https://www.theguardian.com/society/2001/feb/13/asylum,2001-02-13
How government policy affects refugee academics,https://www.theguardian.com/education/2001/feb/13/highereducation.uk,2001-02-13
Taliban's drug tide sweeps by tiny force,https://www.theguardian.com/world/2001/feb/14/rorymccarthy,2001-02-14
Back to Herat,https://www.theguardian.com/society/2001/feb/14/voluntarysector1,2001-02-14
UN races to halt forgotten Afghan tragedy,https://www.theguardian.com/world/2001/feb/16/rorymccarthy,2001-02-16
UN races to halt forgotten Afghan tragedy,https://www.theguardian.com/society/2001/feb/16/voluntarysector,2001-02-16
Tackling the culture of jihad,https://www.theguardian.com/world/2001/feb/16/worlddispatch.rorymccarthy,2001-02-16
Leader: Silence of the damned,https://www.theguardian.com/guardian/2001/feb/21/guardianleaders.sierraleone,2001-02-21
