word,count,GPE,date,article_index
Pakistan_2010-02-19_5003,17,Pakistan,2010-02-19,5003
Pakistan_2012-06-05_6340,17,Pakistan,2012-06-05,6340
Turkey_2001-11-23_1430,17,Turkey,2001-11-23,1430
Kabul_2003-05-25_2307,17,Kabul,2003-05-25,2307
Bagram_2008-06-16_3901,17,Bagram,2008-06-16,3901
Pakistan_2008-09-15_4063,17,Pakistan,2008-09-15,4063
Germany_2015-09-12_7740,17,Germany,2015-09-12,7740
Karzai_2010-12-02_5583,17,Karzai,2010-12-02,5583
Oman_2010-11-28_5513,17,Oman,2010-11-28,5513
Hussain_2013-07-29_6867,17,Hussain,2013-07-29,6867
Gaza_2009-02-10_4273,17,Gaza,2009-02-10,4273
Pakistan_2014-12-07_7477,17,Pakistan,2014-12-07,7477
Afghanistan_2001-09-17_489,17,Afghanistan,2001-09-17,489
Pakistan_2011-07-10_5963,17,Pakistan,2011-07-10,5963
Karzai_2010-12-02_5572,17,Karzai,2010-12-02,5572
Pakistan_2009-12-08_4907,17,Pakistan,2009-12-08,4907
Iraq_2016-07-07_7986,17,Iraq,2016-07-07,7986
Pakistan_2012-12-13_6565,17,Pakistan,2012-12-13,6565
Israel_2010-07-27_5265,17,Israel,2010-07-27,5265
Pakistan_2011-11-28_6120,17,Pakistan,2011-11-28,6120
Pakistan_2010-07-31_5283,17,Pakistan,2010-07-31,5283
Pakistan_2018-12-13_8430,17,Pakistan,2018-12-13,8430
U.S._2010-12-16_5636,17,U.S.,2010-12-16,5636
Iran_2013-08-03_6875,17,Iran,2013-08-03,6875
Pakistan_2000-08-15_188,17,Pakistan,2000-08-15,188
Iraq_2014-06-27_7289,17,Iraq,2014-06-27,7289
Pakistan_2019-07-21_8488,17,Pakistan,2019-07-21,8488
Iran_2017-06-24_8207,17,Iran,2017-06-24,8207
Israel_2012-11-15_6537,17,Israel,2012-11-15,6537
Libya_2011-05-05_5854,17,Libya,2011-05-05,5854
Iraq_2004-03-05_2485,17,Iraq,2004-03-05,2485
Pakistan_2002-03-31_1861,17,Pakistan,2002-03-31,1861
Iran_2014-11-18_7451,17,Iran,2014-11-18,7451
Pakistan_2011-07-11_5964,17,Pakistan,2011-07-11,5964
Baghdad_2005-10-27_2808,16,Baghdad,2005-10-27,2808
Afghanistan_2016-09-28_8024,16,Afghanistan,2016-09-28,8024
India_2014-05-21_7206,16,India,2014-05-21,7206
Pakistan_2012-05-09_6309,16,Pakistan,2012-05-09,6309
Afghanistan_2011-06-23_5939,16,Afghanistan,2011-06-23,5939
Israel_2009-01-02_4232,16,Israel,2009-01-02,4232
Gaza_2010-07-27_5265,16,Gaza,2010-07-27,5265
Iraq_2004-01-21_2459,16,Iraq,2004-01-21,2459
Pakistan_2014-11-14_7443,16,Pakistan,2014-11-14,7443
Brussels_2016-03-27_7915,16,Brussels,2016-03-27,7915
Afghanistan_2018-08-19_8400,16,Afghanistan,2018-08-19,8400
Russia_2010-12-02_5569,16,Russia,2010-12-02,5569
Iran_2014-12-03_7473,16,Iran,2014-12-03,7473
Iran_2002-07-31_2010,16,Iran,2002-07-31,2010
Pakistan_2015-01-06_7515,16,Pakistan,2015-01-06,7515
Iran_2007-08-07_3439,16,Iran,2007-08-07,3439
Pakistan_2012-05-21_6320,16,Pakistan,2012-05-21,6320
Pakistan_2011-04-10_5794,16,Pakistan,2011-04-10,5794
Pakistan_2010-08-06_5302,16,Pakistan,2010-08-06,5302
Pakistan_2017-03-09_8147,16,Pakistan,2017-03-09,8147
Afghanistan_2008-12-11_4209,16,Afghanistan,2008-12-11,4209
Britain_2007-04-08_3287,16,Britain,2007-04-08,3287
Kandahar_2001-12-07_1527,16,Kandahar,2001-12-07,1527
Afghanistan_2021-04-17_8769,16,Afghanistan,2021-04-17,8769
Iran_2015-05-22_7646,16,Iran,2015-05-22,7646
America_2021-08-21_9113,16,America,2021-08-21,9113
Germany_2020-07-29_8670,16,Germany,2020-07-29,8670
Afghanistan_2013-01-10_6609,16,Afghanistan,2013-01-10,6609
Ariana_2005-11-07_2812,16,Ariana,2005-11-07,2812
Iran_2010-12-02_5575,16,Iran,2010-12-02,5575
Britain_2002-01-05_1649,16,Britain,2002-01-05,1649
Iraq_2011-10-23_6087,16,Iraq,2011-10-23,6087
Pakistan_2010-11-30_5524,16,Pakistan,2010-11-30,5524
Switzerland_2011-01-11_5677,16,Switzerland,2011-01-11,5677
Pakistan_2017-08-23_8234,16,Pakistan,2017-08-23,8234
Afghanistan_2009-07-10_4536,16,Afghanistan,2009-07-10,4536
Pakistan_2021-07-14_8863,16,Pakistan,2021-07-14,8863
Afghanistan_2019-12-14_8565,16,Afghanistan,2019-12-14,8565
Pakistan_2012-12-01_6551,16,Pakistan,2012-12-01,6551
Karzai_2015-07-12_7680,16,Karzai,2015-07-12,7680
Pakistan_2009-08-02_4599,16,Pakistan,2009-08-02,4599
Iran_2014-06-27_7289,16,Iran,2014-06-27,7289
Pakistan_2010-11-30_5536,16,Pakistan,2010-11-30,5536
Pakistan_2008-01-01_3657,16,Pakistan,2008-01-01,3657
Afghanistan_2010-12-07_5609,16,Afghanistan,2010-12-07,5609
Iraq_2007-06-08_3353,16,Iraq,2007-06-08,3353
Pakistan_2012-07-03_6362,16,Pakistan,2012-07-03,6362
Afghanistan_2011-10-07_6066,16,Afghanistan,2011-10-07,6066
Australia_2001-09-01_386,16,Australia,2001-09-01,386
Pakistan_2014-12-21_7508,16,Pakistan,2014-12-21,7508
Iran_2007-10-29_3552,16,Iran,2007-10-29,3552
Baghdad_2002-03-24_1852,16,Baghdad,2002-03-24,1852
Iran_2011-11-03_6097,16,Iran,2011-11-03,6097
Pakistan_2011-12-15_6150,16,Pakistan,2011-12-15,6150
Australia_2021-08-17_9000,16,Australia,2021-08-17,9000
Afghanistan_2008-07-19_3957,16,Afghanistan,2008-07-19,3957
Afghanistan_2013-04-10_6697,16,Afghanistan,2013-04-10,6697
Pakistan_2011-11-27_6114,16,Pakistan,2011-11-27,6114
Hazara_2017-04-03_8169,16,Hazara,2017-04-03,8169
India_2009-05-13_4459,16,India,2009-05-13,4459
India_2016-09-28_8025,16,India,2016-09-28,8025
Iran_2014-01-02_7022,16,Iran,2014-01-02,7022
Afghanistan_2001-10-08_840,16,Afghanistan,2001-10-08,840
Hazara_2016-08-05_7999,16,Hazara,2016-08-05,7999
Afghanistan_2011-05-25_5893,16,Afghanistan,2011-05-25,5893
Pakistan_2009-05-07_4445,16,Pakistan,2009-05-07,4445
Iran_2001-09-22_586,16,Iran,2001-09-22,586
Iraq_2014-06-16_7276,16,Iraq,2014-06-16,7276
Kabul_2009-05-16_4468,16,Kabul,2009-05-16,4468
UK_2021-08-17_9030,15,UK,2021-08-17,9030
Kabul_2001-11-14_1299,15,Kabul,2001-11-14,1299
Afghanistan_2001-10-23_1068,15,Afghanistan,2001-10-23,1068
Mubanga_2005-02-06_2694,15,Mubanga,2005-02-06,2694
Afghanistan_2010-12-16_5636,15,Afghanistan,2010-12-16,5636
UK_2021-08-28_9262,15,UK,2021-08-28,9262
Iran_2010-07-14_5206,15,Iran,2010-07-14,5206
UK_2021-04-27_8784,15,UK,2021-04-27,8784
