word,count,FAC,date,article_index
Stargate_2011-07-24_5987,1,Stargate,2011-07-24,5987
Caprica_2011-07-24_5987,1,Caprica,2011-07-24,5987
Battlestar_2011-07-24_5987,1,Battlestar,2011-07-24,5987
Mandigak_2011-07-13_5971,1,Mandigak,2011-07-13,5971
Rome_2011-07-24_5987,1,Rome,2011-07-24,5987
Helmand_2011-07-20_5985,1,Helmand,2011-07-20,5985
Kandahar_2011-07-20_5985,1,Kandahar,2011-07-20,5985
Highway_2011-07-19_5981,1,Highway,2011-07-19,5981
Kipling_2011-07-19_5979,1,Kipling,2011-07-19,5979
Afghanistan_2011-07-19_5979,1,Afghanistan,2011-07-19,5979
Street_2011-07-17_5978,1,Street,2011-07-17,5978
Newport_2011-07-17_5978,1,Newport,2011-07-17,5978
Beaconsfield_2011-07-17_5978,1,Beaconsfield,2011-07-17,5978
Palace_2011-07-13_5971,1,Palace,2011-07-13,5971
Tunisia_2011-03-27_5770,1,Tunisia,2011-03-27,5770
Hall_2011-03-13_5760,1,Hall,2011-03-13,5760
City_2011-03-13_5760,1,City,2011-03-13,5760
Delta_2010-12-07_5609,1,Delta,2010-12-07,5609
de_2010-12-10_5615,1,de,2010-12-10,5615
Rio_2010-12-10_5615,1,Rio,2010-12-10,5615
David_2010-12-09_5613,1,David,2010-12-09,5613
Camp_2010-12-09_5613,1,Camp,2010-12-09,5613
Pyala_2010-12-09_5612,1,Pyala,2010-12-09,5612
Cafe_2010-12-09_5612,1,Cafe,2010-12-09,5612
Sehbai_2010-12-09_5612,1,Sehbai,2010-12-09,5612
Shaheen_2010-12-09_5612,1,Shaheen,2010-12-09,5612
Bay_2010-12-07_5609,1,Bay,2010-12-07,5609
Guantánamo_2010-12-07_5609,1,Guantánamo,2010-12-07,5609
Niger_2010-12-07_5609,1,Niger,2010-12-07,5609
Moscow_2010-12-10_5615,1,Moscow,2010-12-10,5615
Guantanamo_2010-12-07_5609,1,Guantanamo,2010-12-07,5609
Moscow_2010-12-07_5609,1,Moscow,2010-12-07,5609
America_2010-12-07_5609,1,America,2010-12-07,5609
Siprnet_2010-12-07_5609,1,Siprnet,2010-12-07,5609
Background_2010-12-07_5609,1,Background,2010-12-07,5609
101st_2010-12-07_5607,1,101st,2010-12-07,5607
Cameron_2010-12-07_5607,1,Cameron,2010-12-07,5607
Bastion_2010-12-07_5606,1,Bastion,2010-12-07,5606
Camp_2010-12-07_5606,1,Camp,2010-12-07,5606
Bhutto_2010-12-05_5603,1,Bhutto,2010-12-05,5603
Janeiro_2010-12-10_5615,1,Janeiro,2010-12-10,5615
WashingtonSergei_2010-12-10_5615,1,WashingtonSergei,2010-12-10,5615
Embassy_2010-12-05_5598,1,Embassy,2010-12-05,5598
u.s.-india_2010-12-16_5636,1,u.s.-india,2010-12-16,5636
Action_2010-12-16_5641,1,Action,2010-12-16,5641
S_2010-12-16_5639,1,S,2010-12-16,5639
Pakistan_2010-12-16_5639,1,Pakistan,2010-12-16,5639
Protocol_2010-12-16_5636,1,Protocol,2010-12-16,5636
Kyoto_2010-12-16_5636,1,Kyoto,2010-12-16,5636
Plan_2010-12-16_5636,1,Plan,2010-12-16,5636
Action_2010-12-16_5636,1,Action,2010-12-16,5636
